name,mode,rows,feature_dim,aligned_feature_dim,accuracy,precision,recall,f1,auc,epochs,rounds,clients,local_epochs,batch_size,lr,lr_schedule,lr_decay,lr_step_size,lr_min,hidden_layers,hidden_units,activation,client_fraction,dirichlet_alpha,clip_norm,noise_multiplier,epsilon,delta,seed
centralized_mlp,centralized,32561,105,,0.8530893010686648,0.7268408551068883,0.6244897959183674,0.6717892425905598,0.9082874113890823,50,,,,128,0.05,step_decay,0.5,15,0.005,2,"64,32",ReLU,,,,,,,42
fedavg_mlp,fedavg,32561,105,105,0.842771158334357,0.733196159122085,0.5454081632653062,0.6255119953188999,0.8962179192984426,,50,4,1,32,0.05,step_decay,0.5,15,0.005,2,"64,32",ReLU,1.0,0.3,,,,,42
dp_fedavg_mlp,dp_fedavg,32561,105,105,0.8118167301314335,0.6877192982456141,0.4,0.5058064516129033,0.8536800563940186,,50,4,1,32,0.03,step_decay,0.5,15,0.005,2,"64,32",ReLU,1.0,0.3,1.0,0.1,4.0,1e-05,42
dp_noise_0.1,dp_fedavg,32561,105,105,0.8118167301314335,0.6877192982456141,0.4,0.5058064516129033,0.8536800563940186,,50,4,1,32,0.03,step_decay,0.5,15,0.005,2,"64,32",ReLU,1.0,0.3,1.0,0.1,4.0,1e-05,42
dp_noise_0.2,dp_fedavg,32561,105,105,0.7755803955288049,0.539987973541792,0.45816326530612245,0.4957217775324317,0.7706503471798039,,50,4,1,32,0.03,step_decay,0.5,15,0.005,2,"64,32",ReLU,1.0,0.3,1.0,0.2,4.0,1e-05,42
dp_noise_0.5,dp_fedavg,32561,105,105,0.48495270851246775,0.3027036578900866,0.8739795918367347,0.4496653104081901,0.668075058853828,,50,4,1,32,0.03,step_decay,0.5,15,0.005,2,"64,32",ReLU,1.0,0.3,1.0,0.5,4.0,1e-05,42
alpha_0.1,fedavg,32561,105,105,0.842771158334357,0.733196159122085,0.5454081632653062,0.6255119953188999,0.8962179192984426,,50,4,1,32,0.05,step_decay,0.5,15,0.005,2,"64,32",ReLU,1.0,0.1,,,,,42
alpha_0.3,fedavg,32561,105,105,0.842771158334357,0.733196159122085,0.5454081632653062,0.6255119953188999,0.8962179192984426,,50,4,1,32,0.05,step_decay,0.5,15,0.005,2,"64,32",ReLU,1.0,0.3,,,,,42
alpha_1.0,fedavg,32561,105,105,0.842771158334357,0.733196159122085,0.5454081632653062,0.6255119953188999,0.8962179192984426,,50,4,1,32,0.05,step_decay,0.5,15,0.005,2,"64,32",ReLU,1.0,1.0,,,,,42
